hh_id,psu,strata,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_sani,d_wtr,d_hsg,d_ckfl,d_asst,sex_Male,sex_Female,agec7_0-4,agec7_5-9,agec7_10-14,agec7_15-17,agec7_18-59,agec7_60+,hhsize,region,area
211,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,0,1,1,0,0,0,0,2,0,2,Chitipa,rural
213,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,3,6,1,1,2,0,5,0,9,Chitipa,rural
214,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,1,1,0,0,0,0,1,1,2,Chitipa,rural
215,2,Chitipa Rural,0.29151395,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1,3,3,2,0,1,1,2,0,6,Chitipa,rural
217,2,Chitipa Rural,0.29151395,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,3,7,2,2,3,0,3,0,10,Chitipa,rural
219,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0,0,2,1,0,0,0,0,1,2,Chitipa,rural
220,2,Chitipa Rural,0.29151395,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,1,2,1,0,0,0,2,0,3,Chitipa,rural
221,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0,1,2,1,0,0,0,2,0,3,Chitipa,rural
222,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1,1,1,0,0,0,0,1,1,2,Chitipa,rural
223,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0,1,0,0,0,0,0,1,0,1,Chitipa,rural
224,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,2,1,0,0,0,2,0,3,Chitipa,rural
301,3,Chitipa Rural,0.29120877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,3,5,2,1,1,0,3,1,8,Chitipa,rural
302,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,4,1,0,0,1,0,3,1,5,Chitipa,rural
303,3,Chitipa Rural,0.29120877,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,0,5,4,0,2,2,1,4,0,9,Chitipa,rural
304,3,Chitipa Rural,0.29120877,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,2,2,2,0,0,0,2,0,4,Chitipa,rural
305,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0,1,0,0,0,0,0,1,1,Chitipa,rural
306,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1,0,0,0,0,0,1,0,1,Chitipa,rural
308,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1,3,1,0,0,0,0,2,2,4,Chitipa,rural
309,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,4,0,0,2,1,0,1,0,4,Chitipa,rural
310,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,1,2,0,1,1,0,1,0,3,Chitipa,rural
311,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,3,2,2,1,0,0,2,0,5,Chitipa,rural
312,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,5,3,0,1,1,2,4,0,8,Chitipa,rural
313,3,Chitipa Rural,0.29120877,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,3,2,1,2,0,0,2,0,5,Chitipa,rural
314,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2,3,1,0,1,1,2,0,5,Chitipa,rural
315,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,2,4,1,1,1,0,3,0,6,Chitipa,rural
316,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0,3,0,1,1,0,1,0,3,Chitipa,rural
317,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,2,3,0,1,1,1,2,0,5,Chitipa,rural
318,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,3,5,1,1,2,2,2,0,8,Chitipa,rural
319,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1,3,0,0,1,1,2,0,4,Chitipa,rural
320,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,6,2,0,2,1,1,4,0,8,Chitipa,rural
321,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1,2,1,0,0,0,2,0,3,Chitipa,rural
322,3,Chitipa Rural,0.29120877,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,2,1,1,0,0,0,2,0,3,Chitipa,rural
323,3,Chitipa Rural,0.29120877,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,3,3,2,1,1,0,2,0,6,Chitipa,rural
324,3,Chitipa Rural,0.29120877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,3,4,1,1,1,1,3,0,7,Chitipa,rural
401,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,3,1,0,2,0,0,2,0,4,Chitipa,rural
402,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,4,2,1,1,0,2,2,0,6,Chitipa,rural
403,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0,4,3,0,0,3,0,2,2,7,Chitipa,rural
404,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1,4,2,1,1,2,0,2,0,6,Chitipa,rural
405,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,4,2,1,0,1,0,4,0,6,Chitipa,rural
406,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,1,1,0,0,0,0,1,1,2,Chitipa,rural
407,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,2,1,0,0,0,0,1,2,3,Chitipa,rural
408,4,Chitipa Rural,0.2749901,,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1,3,5,0,1,2,0,2,3,8,Chitipa,rural
409,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,0,5,1,1,2,1,0,2,0,6,Chitipa,rural
410,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,0,2,0,0,0,1,1,0,2,Chitipa,rural
411,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,1,5,0,2,1,1,2,0,6,Chitipa,rural
